n_anchors	true_slope	recovery_rate	n_reps	mean_r2	mean_slope_hat	sd_slope_hat
5	0.01	0.22	200	0.26434761065670764	0.0066072474987984966	0.1819404597905713
5	0.025	0.155	200	0.2361614129507029	-0.0341771178417248	0.1547491530478624
5	0.05	0.17	200	0.2633183119380341	-0.04963504793188057	0.1547689731876546
5	0.1	0.26	200	0.3088175477836563	-0.0981214034923531	0.1690703525729523
5	0.2	0.4	200	0.39916579829241267	-0.16567143118730074	0.18182005941191795
8	0.01	0.065	200	0.15345286323515542	-0.00806559663629265	0.10498491639101253
8	0.025	0.055	200	0.14678761815082564	-0.017280986173600812	0.10697709346774534
8	0.05	0.04	200	0.14129451688416508	-0.03867087923485406	0.09974533313886794
8	0.1	0.135	200	0.2288218093194206	-0.09417019034010866	0.1093755097033096
8	0.2	0.405	200	0.4022665962972917	-0.19509353992410802	0.11975215445503952
12	0.01	0.01	200	0.08926602211273299	-0.01778632584384908	0.07846504093879521
12	0.025	0.01	200	0.09263732721147135	-0.02633231064239113	0.0733799754515142
12	0.05	0.015	200	0.10514443882188107	-0.04208158089789178	0.07569865866514536
12	0.1	0.04	200	0.15920609948111614	-0.0822805722078093	0.08214582102622801
12	0.2	0.3	200	0.3584678419984211	-0.18663197764295444	0.09582613878307462
20	0.01	0.0	200	0.05842297499630658	-0.012990852580624112	0.06181421426324246
20	0.025	0.0	200	0.06355222128663739	-0.018938568737172118	0.061675171289318556
20	0.05	0.005	200	0.07381050321773638	-0.03713518438264181	0.057963129351856116
20	0.1	0.01	200	0.14190097447834255	-0.08890551557147448	0.05854383681246445
20	0.2	0.17	200	0.32400746096255517	-0.1773190149806526	0.05611402867113146
40	0.01	0.0	200	0.02569803777274818	-0.01112793256181889	0.03766046619341805
40	0.025	0.0	200	0.029408167686522563	-0.021350063216934712	0.036313031841993984
40	0.05	0.0	200	0.05140387415995649	-0.04380938584232355	0.03687230304641661
40	0.1	0.0	200	0.12356608647684773	-0.08737845522475414	0.041475812100999224
40	0.2	0.07	200	0.3228073062102969	-0.18370539256174748	0.04388843681558437
